['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3510', 'Brackenfell', 'Cape Town', '10:39', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3512', 'Brackenfell', 'Cape Town', '12:09', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3514', 'Brackenfell', 'Cape Town', '13:01', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3516', 'Brackenfell', 'Cape Town', '14:04', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['2516', 'Brackenfell', 'Cape Town', '14:55', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3518', 'Brackenfell', 'Cape Town', '15:24', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3520', 'Brackenfell', 'Cape Town', '16:24', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3522', 'Brackenfell', 'Cape Town', '17:24', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0121', 'Cape Town', 'False Bay', '13:32', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0123', 'Cape Town', 'False Bay', '14:45', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0125', 'Cape Town', 'False Bay', '15:30', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0129', 'Cape Town', 'False Bay', '16:16', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0131', 'Cape Town', 'False Bay', '16:52', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0133', 'Cape Town', 'False Bay', '17:38', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0135', 'Cape Town', 'False Bay', '18:41', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
['3524', 'Brackenfell', 'Cape Town', '18:34', 45, '0137', 'Cape Town', 'False Bay', '19:42', 47]
